drug_name,Total Articles,Positive Studies (%),Negative Studies (%),High Quality Evidence (%),Primary Safety Concern,Recent Publications (2yr),Literature Assessment,avg_rating,all_side_effects,overall_sentiment
DEXILANT,1,0,0,100,,0,Mixed-Neutral,2.0,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
"""DEXTROAMP SACCHARATE",9,0,0,11.1,,1,Concerning,,,
AMP ASPARTATE,196,0,0,1,,71,Concerning,,,
"DEXTROAMP SULFATE AND AMP SULFATE""",194,0,0,2.1,,60,Concerning,,,
DEXTROAMPHETAMINE SULFATE,1,0,0,0,,1,Concerning,4.0,,positive
DEXTROSTAT,172,0,0,21.5,,42,Concerning,,,
DIABETA,12,8.3,0,0,,2,Concerning,1.0,nausea,neutral
DIAMOX,23,8.7,4.3,13,,9,Concerning,2.62,diarrhea | dizziness | fatigue | headache | nausea | neuropathy | stomach pain | vomiting | weight loss,negative
DIASTAT,1,0,0,0,,1,Concerning,5.0,,negative
DIAZEPAM,183,16.9,8.2,10.4,Nephrotoxicity,49,Concerning,4.26,dizziness | fatigue,negative
DICLEGIS,3,0,0,0,,1,Concerning,1.0,nausea | vomiting,neutral
DICLOFENAC POTASSIUM,40,20,2.5,20,,18,Concerning,5.0,,negative
DICLOFENAC SODIUM,194,21.6,6.7,9.3,,54,Concerning,3.14,diarrhea | dizziness | fatigue | headache | nausea | stomach pain,negative
DICLOXACILLIN SODIUM,1,0,0,0,,0,Concerning,2.5,rash,negative
DIFFERIN,7,0,0,0,,2,Concerning,1.14,,negative
DIFICID,1,0,0,0,,0,Concerning,,,
DIFLUCAN,11,18.2,18.2,9.1,,7,Concerning,1.79,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | tachycardia | vomiting,negative
DIFLUCAN IN SODIUM CHLORIDE 0.9%,3,0,0,0,,2,Concerning,3.0,fatigue | headache,negative
DIGOXIN,177,15.3,38.4,14.7,Cardiovascular,48,Concerning,3.33,,negative
DILANTIN,7,0,0,28.6,,3,Mixed-Neutral,3.0,fatigue | weight gain,negative
DILAUDID,5,0,20,0,,1,Concerning,3.31,dizziness | nausea | stomach pain | vomiting,negative
DILTIAZEM HCL,9,0,0,0,,6,Concerning,2.0,fatigue | headache | nausea,negative
DIMENHYDRINATE,49,18.4,8.2,16.3,,20,Concerning,4.0,,positive
DIOVAN,12,8.3,0,0,,4,Concerning,2.62,fatigue | nausea | neuropathy,negative
DIPHENHYDRAMINE HCL,10,10,0,0,,3,Concerning,3.0,,negative
DIPRIVAN,13,7.7,0,0,,5,Concerning,2.21,dizziness | rash,negative
DIPROLENE AF,3,0,0,0,,0,Concerning,1.0,,positive
DIPROSONE,5,20,20,0,,1,Concerning,5.0,,negative
DIPYRIDAMOLE,181,12.7,9.4,16.6,Cardiovascular,50,Concerning,1.0,fatigue,positive
DISULFIRAM,181,25.4,12.7,3.9,Cardiovascular,64,Concerning,3.0,,negative
DITROPAN,2,0,0,0,,2,Concerning,4.0,stomach pain,negative
DIVALPROEX SODIUM,27,25.9,3.7,11.1,,15,Concerning,1.0,,negative
DIVIGEL,1,0,0,100,,0,Mixed-Neutral,2.8,headache | heart attack | insomnia | nausea | stomach pain | weight gain,positive
DOBUTAMINE HCL IN DEXTROSE 5% IN PLASTIC CONTAINER,1,0,0,0,,0,Concerning,,,
DOLOPHINE HYDROCHLORIDE,19,0,0,10.5,,6,Concerning,3.73,fatigue | vomiting | weight gain,negative
DORAL,78,0,0,6.4,,33,Concerning,5.0,,positive
DORZOLAMIDE HYDROCHLORIDE,17,11.8,0,5.9,,7,Concerning,2.5,nausea,negative
DOSTINEX,4,0,0,0,,2,Concerning,2.36,dizziness | fatigue | headache | heart attack | nausea | neuropathy | weight gain,negative
DOVONEX,2,0,0,0,,0,Concerning,3.56,neuropathy,positive
DOXAZOSIN MESYLATE,10,10,20,10,,4,Concerning,4.2,headache | rash,positive
DOXEPIN HYDROCHLORIDE,12,8.3,8.3,8.3,,6,Concerning,2.94,dizziness | fatigue | headache | neuropathy | weight gain,negative
DOXY 100,2,0,0,50,,1,Mixed-Neutral,3.67,nausea,positive
DOXYCYCLINE,175,31.4,22.3,10.3,Gastrointestinal,56,Concerning,1.5,diarrhea | fatigue | nausea | rash | stomach pain,negative
DOXYCYCLINE HYCLATE,81,8.6,1.2,8.6,,27,Concerning,1.59,diarrhea | dizziness | fatigue | headache | insomnia | nausea | neuropathy | rash | stomach pain | tachycardia | vomiting,negative
DUAC,1,0,0,0,,1,Concerning,1.88,rash,negative
DUAVEE,3,66.7,0,33.3,,2,Mixed-Positive,4.0,headache,negative
DULERA,1,0,0,0,,1,Concerning,1.81,dizziness | fatigue | headache | tachycardia | weight gain,negative
DULOXETINE HYDROCHLORIDE,180,0.6,0,35,,65,Mixed-Neutral,4.0,,negative
DUPIXENT,56,5.4,5.4,3.6,,29,Concerning,2.33,rash | weight gain,negative
DURAMORPH PF,22,0,0,18.2,,11,Mixed-Neutral,3.0,,negative
DUREZOL,5,20,0,0,,3,Concerning,3.0,headache,neutral
DURICEF,1,0,0,0,,1,Concerning,5.0,,negative
DYAZIDE,1,0,0,0,,1,Concerning,2.0,diarrhea | headache | nausea | neuropathy | rash,negative
DYMISTA,9,22.2,0,0,,3,Concerning,3.0,fatigue | headache,negative
DYNACIRC,1,0,0,0,,0,Concerning,3.0,fatigue | nausea,negative
DYSPORT,94,21.3,7.4,29.8,,26,Mixed-Neutral,3.0,dizziness | fatigue | headache,negative
PRADAXA,16,0,0,18.8,,7,Concerning,1.22,fatigue | headache | nausea | stomach pain | vomiting,negative
AMPYRA,4,0,25,0,,2,Concerning,2.0,fatigue | headache | insomnia | neuropathy,positive
FRAGMIN,7,0,0,0,,2,Concerning,,,
DANAZOL,175,16,11.4,12,Hematologic,51,Concerning,4.0,fatigue | headache | weight gain | weight loss,negative
DANTRIUM,3,0,0,33.3,,2,Mixed-Neutral,3.0,headache,neutral
FARXIGA,11,0,9.1,0,,4,Concerning,2.09,fatigue,negative
QTERN,1,0,0,0,,0,Concerning,2.0,insomnia | neuropathy,neutral
DAPSONE,172,23.8,16.3,9.9,Allergic,39,Concerning,3.17,insomnia,positive
ACZONE,1,100,0,0,,1,Mixed-Neutral,2.8,,positive
DARZALEX,13,0,15.4,0,,5,Concerning,5.0,,positive
QUVIVIQ,5,0,0,0,,1,Concerning,1.0,nausea,neutral
EXJADE,12,0,0,8.3,,1,Concerning,,,
PROLIA,42,14.3,2.4,26.2,,17,Mixed-Neutral,1.14,diarrhea | dizziness | fatigue | rash,negative
DESLORATADINE,154,21.4,6.5,7.8,Allergic,70,Concerning,2.0,fatigue,negative
CLARINEX,2,0,0,0,,0,Concerning,2.4,dizziness,positive
CLARINEX-D 12 HOUR,2,0,0,100,,0,Mixed-Neutral,5.0,,positive
DDAVP,184,15.8,14.7,14.7,Hematologic,69,Concerning,4.12,headache | stomach pain | vomiting,positive
STIMATE,6,0,0,0,,2,Concerning,4.0,,positive
DESOGESTREL AND ETHINYL ESTRADIOL,1,100,0,100,,1,Favorable,3.5,fatigue | headache | weight gain,positive
DESONIDE,22,22.7,9.1,22.7,Allergic,12,Mixed-Neutral,1.0,,negative
DESOXIMETASONE,19,15.8,10.5,5.3,,5,Concerning,3.0,,positive
TOPICORT,1,0,0,0,,0,Concerning,5.0,,positive
DESVENLAFAXINE FUMARATE,1,0,0,0,,0,Concerning,,,
PRISTIQ,47,0,0,4.3,,20,Concerning,1.64,headache | insomnia | nausea | stomach pain | weight gain,negative
AUSTEDO,11,0,0,27.3,,2,Concerning,2.5,fatigue | insomnia | nausea,positive
OZURDEX,171,15.8,7,7,,53,Concerning,5.0,,positive
DEXAMETHASONE,176,34.1,25,27.8,Gastrointestinal,63,Mixed-Neutral,2.67,dizziness | fatigue | insomnia | stomach pain,negative
DECADRON,8,12.5,0,25,Cardiovascular,4,Mixed-Neutral,1.62,fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
DEXAMETHASONE SODIUM PHOSPHATE,188,11.7,2.7,4.8,,79,Concerning,1.0,,negative
DECADRON W/ XYLOCAINE,1,0,0,0,,1,Concerning,3.0,,negative
MAXITROL,8,12.5,0,12.5,,2,Concerning,5.0,,positive
NEOMYCIN AND POLYMYXIN B SULFATES AND DEXAMETHASONE,4,0,0,0,,2,Concerning,1.0,,negative
TOBRAMYCIN AND DEXAMETHASONE,1,0,0,0,,1,Concerning,2.5,,neutral
TOBRADEX,13,15.4,0,0,,6,Concerning,1.67,fatigue | headache | rash,negative
DEXILANT,1,0,0,100,,0,Mixed-Neutral,2.0,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain,negative
FOCALIN,3,0,0,0,,1,Concerning,2.9,fatigue | headache | insomnia | nausea | weight loss,positive
AZSTARYS,4,0,0,0,,2,Concerning,,,
DEXTROAMPHETAMINE SULFATE,1,0,0,0,,1,Concerning,4.0,,positive
DEXTROSTAT,172,0,0,21.5,,42,Concerning,,,
DEXEDRINE,1,0,0,0,,0,Concerning,3.74,fatigue | headache | insomnia | rash | tachycardia | weight loss,negative
PROMETHAZINE DM,1,0,0,0,,1,Mixed-Neutral,,,
NUEDEXTA,8,0,0,0,,3,Concerning,3.0,,negative
DELSYM,1,0,0,0,,0,Concerning,1.78,insomnia | stomach pain | tachycardia,positive
GASTROGRAFIN,136,19.9,4.4,3.7,,56,Concerning,2.53,diarrhea | fatigue | headache | stomach pain | vomiting,negative
VALIUM,25,8,0,8,Gastrointestinal,9,Concerning,4.42,fatigue | headache,negative
DIASTAT,1,0,0,0,,1,Concerning,5.0,,negative
DIAZEPAM,183,16.9,8.2,10.4,Nephrotoxicity,49,Concerning,4.26,dizziness | fatigue,negative
ZORVOLEX,1,0,0,100,,0,Mixed-Neutral,4.88,,negative
FLECTOR,3,66.7,0,0,,1,Concerning,4.0,,positive
CAMBIA,154,0,0,13,,31,Concerning,3.8,fatigue | headache | nausea | vomiting,negative
DICLOFENAC POTASSIUM,40,20,2.5,20,,18,Concerning,5.0,,negative
CATAFLAM,4,0,0,0,,2,Concerning,2.7,headache | stomach pain,negative
PENNSAID,2,0,0,50,,1,Mixed-Neutral,4.0,rash,negative
VOLTAREN,16,37.5,0,12.5,,2,Concerning,2.12,diarrhea | dizziness | headache | heart attack | insomnia | nausea | stomach pain | vomiting,negative
DICLOFENAC SODIUM,194,21.6,6.7,9.3,,53,Concerning,3.14,diarrhea | dizziness | fatigue | headache | nausea | stomach pain,negative
DICLOXACILLIN SODIUM,1,0,0,0,,0,Concerning,2.5,rash,negative
BENTYL,2,0,50,0,,1,Concerning,2.21,diarrhea | fatigue | heart attack | nausea | vomiting | weight loss,negative
VIDEX,3,0,0,33.3,,1,Mixed-Neutral,4.0,neuropathy,positive
TENUATE,1,0,0,0,,0,Concerning,,,
TEPANIL TEN-TAB,11,0,0,0,,6,Concerning,5.0,,positive
DUREZOL,5,20,0,0,,3,Concerning,3.0,headache,neutral
DIGOXIN,177,15.3,38.4,14.7,Cardiovascular,48,Concerning,3.33,,negative
LANOXIN,2,0,0,0,,0,Concerning,3.17,,positive
MIGRANAL,1,0,0,0,,1,Mixed-Neutral,2.67,dizziness | headache | nausea | vomiting,negative
DILTIAZEM HCL,9,0,0,0,,6,Concerning,2.0,fatigue | headache | nausea,negative
CARDIZEM,2,0,0,0,,1,Concerning,1.5,fatigue | insomnia | nausea | weight gain,negative
DIMENHYDRINATE,49,18.4,8.2,16.3,,20,Concerning,4.0,,positive
TECFIDERA,38,2.6,5.3,5.3,,8,Concerning,4.12,dizziness | fatigue | nausea | neuropathy,positive
CERVIDIL,2,0,0,0,,0,Concerning,2.5,,negative
BENADRYL,27,3.7,7.4,0,Allergic,13,Concerning,2.14,dizziness | fatigue | insomnia | nausea | rash,negative
DIPHENHYDRAMINE HCL,10,10,0,0,,3,Concerning,3.0,,negative
DIPYRIDAMOLE,181,12.7,9.4,16.6,Cardiovascular,50,Concerning,1.0,fatigue,positive
PERSANTINE,1,0,0,0,,1,Concerning,2.0,headache | vomiting,negative
IV PERSANTINE,10,0,0,10,,3,Concerning,1.0,headache,negative
DISULFIRAM,181,25.4,12.7,3.9,Cardiovascular,64,Concerning,3.0,,negative
ANTABUSE,19,10.5,0,0,,4,Concerning,5.0,,positive
DEPAKOTE,13,0,0,0,,4,Concerning,2.8,fatigue | stomach pain | weight gain,negative
DIVALPROEX SODIUM,27,25.9,3.7,11.1,,15,Concerning,1.0,,negative
DOBUTAMINE HCL IN DEXTROSE 5% IN PLASTIC CONTAINER,1,0,0,0,,0,Concerning,,,
TAXOTERE,79,11.4,7.6,2.5,Hematologic,21,Concerning,1.25,nausea | neuropathy | vomiting,negative
ABREVA,1,0,0,0,,0,Concerning,3.67,,positive
TIKOSYN,2,0,0,0,,1,Concerning,3.36,diarrhea | fatigue | headache | nausea | stomach pain | weight gain,negative
TIVICAY,3,0,0,0,,0,Concerning,,,
ARICEPT,16,12.5,6.2,0,,2,Concerning,1.71,diarrhea | dizziness | nausea | stomach pain | vomiting,negative
DORZOLAMIDE HYDROCHLORIDE,17,11.8,0,5.9,,7,Concerning,2.5,nausea,negative
TRUSOPT,2,0,0,0,,0,Concerning,2.0,,negative
DOXAZOSIN MESYLATE,10,10,20,10,,4,Concerning,4.2,headache | rash,positive
DOXEPIN HYDROCHLORIDE,12,8.3,8.3,8.3,,6,Concerning,2.94,dizziness | fatigue | headache | neuropathy | weight gain,negative
ADRIAMYCIN PFS,191,0,0,38.2,,86,Mixed-Neutral,4.8,fatigue | nausea,positive
ORACEA,1,0,0,0,,1,Concerning,3.4,,negative
VIBRAMYCIN,1,0,0,0,,0,Concerning,2.46,diarrhea | headache | insomnia | nausea | rash | stomach pain | vomiting,positive
PERIOSTAT,2,0,0,0,,1,Concerning,,,
DOXYCYCLINE HYCLATE,81,8.6,1.2,8.6,,27,Concerning,1.59,diarrhea | dizziness | fatigue | headache | insomnia | nausea | neuropathy | rash | stomach pain | tachycardia | vomiting,negative
DOXYCYCLINE,175,30.9,22.9,10.9,Gastrointestinal,56,Concerning,1.5,diarrhea | fatigue | nausea | rash | stomach pain,negative
DOXY 100,2,0,0,50,,1,Mixed-Neutral,3.67,nausea,positive
UNISOM,2,0,0,0,,2,Concerning,1.8,fatigue | headache | insomnia | nausea | weight gain,negative
DICLEGIS,3,0,0,0,,1,Concerning,1.0,nausea | vomiting,neutral
MARINOL,9,11.1,0,0,,3,Concerning,3.94,fatigue | headache | nausea | rash | weight gain,positive
MULTAQ,1,0,0,0,,1,Concerning,2.0,bradycardia | diarrhea | fatigue | headache | nausea | weight gain,negative
FENTANYL CITRATE AND DROPERIDOL,15,0,0,20,,6,Concerning,,,
SLYND,2,50,0,0,,1,Concerning,3.0,,negative
YAZ,71,0,1.4,12.7,,34,Concerning,2.08,fatigue | headache | nausea | vomiting | weight loss,negative
YASMIN,179,1.1,0.6,6.7,,40,Concerning,1.5,fatigue | headache | nausea | stomach pain | vomiting | weight gain,negative
NIKKI,167,0,0,13.8,,78,Concerning,3.0,,positive
SYEDA,193,0,0,7.8,,43,Concerning,,,
BEYAZ,180,0,0,3.9,,76,Concerning,,,
NORTHERA,5,0,0,20,,3,Mixed-Neutral,5.0,,neutral
TRULICITY,15,0,0,33.3,,7,Mixed-Neutral,3.1,diarrhea | nausea | vomiting | weight loss,negative
CYMBALTA,10,10,10,0,,7,Concerning,2.79,fatigue | insomnia | nausea | neuropathy,negative
DULOXETINE HYDROCHLORIDE,180,0.6,0,35,,65,Mixed-Neutral,4.0,,negative
DUPIXENT,56,5.4,5.4,3.6,,29,Concerning,2.33,rash | weight gain,negative
AVODART,6,33.3,16.7,0,,2,Concerning,3.27,,positive
E.E.S.,171,0,0,11.1,,63,Concerning,3.5,,negative
E.E.S. 400,3,0,0,0,,0,Concerning,3.0,nausea,positive
E-BASE,38,0,0,2.6,,12,Concerning,5.0,,negative
EDARBYCLOR,1,0,0,100,,0,Mixed-Neutral,1.78,dizziness | headache | insomnia | nausea | stomach pain | weight gain,negative
EDEX,13,7.7,0,0,,3,Concerning,4.0,,positive
EDURANT,3,0,0,0,,1,Concerning,,,
EFFEXOR,4,25,0,50,,2,Mixed-Neutral,2.19,diarrhea | fatigue | headache | nausea | vomiting | weight gain,negative
EFFEXOR XR,1,0,0,100,,1,Mixed-Neutral,2.3,dizziness | headache | insomnia | nausea,negative
EFFIENT,5,0,0,0,,2,Concerning,2.38,dizziness | fatigue | headache | stomach pain,positive
EFUDEX,3,33.3,0,0,,0,Concerning,3.67,dizziness | fatigue | headache | insomnia | nausea,negative
ELAVIL,1,0,0,0,,0,Concerning,3.0,dizziness | headache | insomnia | nausea | rash | stomach pain | weight gain,positive
ELIDEL,3,33.3,0,0,,0,Concerning,4.0,,positive
ELIMITE,24,4.2,0,0,,8,Concerning,2.0,dizziness,negative
ELIQUIS,102,4.9,2,12.7,,39,Concerning,1.69,dizziness | fatigue | headache | nausea | neuropathy | stomach pain | weight loss,negative
ELLA,173,5.2,1.2,6.4,,61,Concerning,4.5,headache | nausea,positive
ELMIRON,19,5.3,0,5.3,,7,Concerning,3.67,dizziness | fatigue | headache | rash | stomach pain | weight loss,negative
ELOCON,6,0,0,33.3,,3,Mixed-Neutral,3.19,insomnia | rash,positive
EMBEDA,1,0,0,0,,0,Concerning,,,
EMEND,67,4.5,0,0,,20,Concerning,5.0,nausea,negative
EMGALITY,5,0,0,0,,3,Concerning,3.33,fatigue,positive
EMSAM,3,33.3,33.3,0,,2,Concerning,3.81,fatigue | headache | insomnia | nausea | stomach pain,positive
ENALAPRIL MALEATE,44,9.1,4.5,2.3,,20,Concerning,2.5,neuropathy,negative
ENBREL,47,10.6,6.4,8.5,,13,Concerning,2.45,headache | weight gain,positive
ENDOMETRIN,3,33.3,0,0,,1,Concerning,4.0,fatigue | nausea,positive
ENOXAPARIN SODIUM,98,12.2,3.1,5.1,,32,Concerning,,,
ENTOCORT EC,3,33.3,0,33.3,,0,Concerning,3.7,fatigue | headache | insomnia | nausea | stomach pain | weight gain,negative
ENTRESTO,81,18.5,2.5,6.2,Cardiovascular,27,Concerning,2.67,diarrhea | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | weight gain,negative
ENTYVIO,9,0,11.1,0,,1,Concerning,2.64,diarrhea | fatigue | insomnia | stomach pain,positive
ENULOSE,1,0,0,0,,1,Concerning,3.5,,positive
EPCLUSA,29,6.9,3.4,0,Hepatotoxicity,9,Concerning,5.0,fatigue | insomnia | nausea,positive
EPIPEN,44,2.3,2.3,11.4,Cardiovascular,16,Concerning,,,
EPLERENONE,173,20.8,12.1,20.2,Cardiovascular,79,Mixed-Neutral,1.5,fatigue | stomach pain | weight gain,negative
ERGOTAMINE TARTRATE AND CAFFEINE,20,0,0,10,,7,Concerning,4.0,,negative
ERRIN,1,0,0,100,,1,Mixed-Neutral,2.0,,positive
ERYC,6,0,0,0,,2,Concerning,2.0,headache | stomach pain,negative
ERYTHROCIN,4,25,0,0,,2,Concerning,1.73,fatigue | headache | nausea | stomach pain | vomiting,negative
ERYTHROMYCIN,175,10.3,19.4,10.9,,42,Concerning,1.86,dizziness | fatigue | insomnia | nausea | stomach pain | vomiting,negative
ERYTHROMYCIN ETHYLSUCCINATE,5,0,20,20,,0,Concerning,1.0,rash,negative
ERYTHROMYCIN STEARATE,2,0,0,0,,0,Concerning,1.0,,positive
ESCITALOPRAM OXALATE,47,19.1,10.6,25.5,,18,Mixed-Neutral,3.33,diarrhea | fatigue | nausea | weight gain,negative
ESOMEPRAZOLE MAGNESIUM,23,8.7,13,13,,8,Concerning,5.0,,positive
ESTRACE,3,66.7,0,0,,3,Concerning,3.0,dizziness | fatigue | headache | nausea | stomach pain | weight gain,positive
ESTRADIOL,184,18.5,8.7,4.9,Cardiovascular,48,Concerning,3.0,diarrhea | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight gain,negative
ESTRADIOL AND NORETHINDRONE ACETATE,80,1.2,0,37.5,,32,Mixed-Neutral,1.0,,negative
ESTRING,3,0,0,33.3,,2,Mixed-Neutral,3.43,headache | insomnia | nausea | stomach pain | weight gain,positive
ESTROGEL,1,0,0,0,,0,Concerning,3.53,dizziness | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | weight gain,positive
ESZOPICLONE,96,15.6,10.4,31.2,Cardiovascular,41,Mixed-Neutral,5.0,fatigue,positive
ETODOLAC,99,15.2,6.1,15.2,,32,Concerning,2.8,diarrhea | insomnia | nausea,positive
EUCRISA,5,0,0,0,,2,Concerning,1.0,,positive
EURAX,1,0,0,0,,0,Concerning,5.0,,neutral
EVENITY,11,0,0,18.2,,1,Concerning,1.56,dizziness | fatigue | headache | insomnia | nausea,negative
EVISTA,3,0,33.3,33.3,,1,Mixed-Neutral,1.62,fatigue | insomnia | nausea | vomiting,negative
EVOXAC,1,0,0,0,,0,Concerning,4.08,dizziness | fatigue | nausea,positive
EXELON,15,0,0,20,,3,Concerning,1.36,fatigue | insomnia | nausea | rash | vomiting | weight loss,positive
EXEMESTANE,183,13.7,12.6,24.6,Gastrointestinal,67,Mixed-Neutral,1.0,,negative
EXFORGE,1,0,0,0,Cardiovascular,1,Concerning,2.4,fatigue | headache | neuropathy | weight gain,negative
EXFORGE HCT,1,0,0,0,Cardiovascular,1,Concerning,2.0,fatigue | nausea | stomach pain,negative
EXJADE,12,0,0,8.3,,1,Concerning,,,
EXTRA-STRENGTH AIM,1,0,0,0,,0,Concerning,,,
PHOSPHOLINE IODIDE,1,0,0,0,,0,Concerning,2.0,,positive
RADICAVA,10,0,0,10,,4,Concerning,,,
SAVAYSA,1,0,0,100,,0,Mixed-Neutral,1.0,,negative
SUSTIVA,2,0,0,0,,0,Concerning,2.94,dizziness | fatigue | headache | insomnia | neuropathy | rash | stomach pain,positive
ATRIPLA,14,7.1,14.3,7.1,Cardiovascular,3,Concerning,4.0,fatigue | headache | insomnia | nausea | rash,positive
VYVGART,7,0,14.3,14.3,,5,Concerning,2.0,,neutral
JUBLIA,8,12.5,0,12.5,,2,Concerning,2.33,,positive
VANIQA,2,0,0,0,,0,Concerning,3.33,,positive
ORILISSA,3,0,0,0,,0,Concerning,4.0,diarrhea | nausea,positive
VIBERZI,2,0,0,50,,1,Mixed-Neutral,4.0,,negative
JARDIANCE,28,3.6,3.6,10.7,Nephrotoxicity,12,Concerning,1.8,fatigue | insomnia | nausea | neuropathy | weight loss,negative
SYNJARDY,1,0,0,0,,1,Concerning,,,
TRUVADA,70,4.3,1.4,2.9,,17,Concerning,3.0,rash,negative
ENALAPRIL MALEATE,44,9.1,4.5,2.3,,20,Concerning,2.5,neuropathy,negative
ENOXAPARIN SODIUM,98,12.2,3.1,5.1,,32,Concerning,,,
COMTAN,2,0,0,0,,0,Concerning,2.0,,positive
BARACLUDE,3,66.7,0,0,,1,Concerning,3.0,fatigue,negative
XTANDI,17,5.9,0,5.9,,4,Concerning,2.0,fatigue | insomnia,negative
EPIPEN,44,2.3,2.3,11.4,Cardiovascular,16,Concerning,,,
PRIMATENE MIST,2,0,0,0,,2,Mixed-Neutral,,,
EPLERENONE,173,20.8,12.1,20.2,Cardiovascular,79,Mixed-Neutral,1.5,fatigue | stomach pain | weight gain,negative
VELETRI,2,0,0,0,Gastrointestinal,0,Concerning,5.0,,negative
AIMOVIG,14,0,0,0,Cardiovascular,2,Concerning,4.0,headache,negative
VITAMIN D,182,25.3,31.3,8.2,Gastrointestinal,60,Concerning,1.62,diarrhea | dizziness | fatigue | headache | insomnia | nausea | rash,positive
TARCEVA,11,18.2,0,9.1,,3,Concerning,5.0,diarrhea,positive
INVANZ,2,0,0,0,,0,Concerning,5.0,,neutral
STEGLATRO,2,0,0,50,,1,Mixed-Neutral,3.0,,negative
ERYTHROMYCIN,175,10.3,19.4,10.9,,42,Concerning,1.86,dizziness | fatigue | insomnia | nausea | stomach pain | vomiting,negative
ERYC,6,0,0,0,,2,Concerning,2.0,headache | stomach pain,negative
A/T/S,194,0,0,8.8,,70,Concerning,4.0,stomach pain,positive
E-BASE,38,0,0,2.6,,12,Concerning,5.0,,negative
E.E.S. 400,3,0,0,0,,0,Concerning,3.0,nausea,positive
ERYTHROMYCIN ETHYLSUCCINATE,5,0,20,20,,0,Concerning,1.0,rash,negative
E.E.S.,171,0,0,11.1,,63,Concerning,3.5,,negative
ERYTHROCIN,4,25,0,0,,2,Concerning,1.73,fatigue | headache | nausea | stomach pain | vomiting,negative
ERYTHROMYCIN STEARATE,2,0,0,0,,0,Concerning,1.0,,positive
LEXAPRO,8,12.5,12.5,25,,3,Concerning,3.3,fatigue | insomnia | nausea | weight gain | weight loss,negative
ESCITALOPRAM OXALATE,47,19.1,10.6,25.5,,18,Mixed-Neutral,3.33,diarrhea | fatigue | nausea | weight gain,negative
SPRAVATO,66,1.5,16.7,18.2,,25,Concerning,,,
APTIOM,1,0,0,0,,0,Concerning,1.67,insomnia,positive
NEXIUM,11,0,0,27.3,,1,Concerning,1.47,dizziness | fatigue | headache | insomnia | stomach pain,negative
ESOMEPRAZOLE MAGNESIUM,23,8.7,13,13,,8,Concerning,5.0,,positive
NEXIUM IV,14,0,0,14.3,,4,Concerning,,,
PROSOM,1,0,0,100,,0,Mixed-Neutral,3.0,fatigue,neutral
ESTROGEL,1,0,0,0,,0,Concerning,3.53,dizziness | fatigue | headache | insomnia | nausea | neuropathy | stomach pain | weight gain,positive
VIVELLE-DOT,2,0,0,0,,1,Concerning,4.08,headache | insomnia | nausea | weight gain,positive
VIVELLE,2,0,0,0,,1,Concerning,3.27,insomnia,positive
CLIMARA,2,0,0,50,,2,Mixed-Neutral,2.26,headache | rash | weight gain,positive
ESTRING,3,0,0,33.3,,2,Mixed-Neutral,3.43,headache | insomnia | nausea | stomach pain | weight gain,positive
VAGIFEM,8,25,0,0,,5,Concerning,2.0,headache | nausea | stomach pain,negative
ESTRADIOL,184,18.5,8.7,4.9,Cardiovascular,48,Concerning,3.0,diarrhea | fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight gain,negative
DIVIGEL,1,0,0,100,,0,Mixed-Neutral,2.8,headache | heart attack | insomnia | nausea | stomach pain | weight gain,positive
ESTRACE,3,66.7,0,0,,3,Concerning,3.0,dizziness | fatigue | headache | nausea | stomach pain | weight gain,positive
LUNELLE,1,0,0,0,,1,Concerning,2.0,weight gain,neutral
TESTOSTERONE ENANTHATE AND ESTRADIOL VALERATE,9,0,0,11.1,,3,Concerning,,,
ESTRADIOL AND NORETHINDRONE ACETATE,80,1.2,0,37.5,,32,Mixed-Neutral,1.0,,negative
PREFEST,1,0,0,0,,0,Concerning,,,
PREMARIN,20,30,5,25,,8,Mixed-Neutral,3.43,dizziness | fatigue | headache | insomnia | nausea | weight gain,negative
PREMPRO,2,0,0,0,,1,Concerning,3.27,diarrhea | fatigue | headache | nausea | stomach pain | weight gain,negative
OGEN .625,1,0,0,0,,1,Concerning,5.0,weight gain,negative
ESZOPICLONE,96,15.6,10.4,31.2,Cardiovascular,41,Mixed-Neutral,5.0,fatigue,positive
LUNESTA,3,0,0,33.3,,0,Concerning,2.46,fatigue | insomnia,negative
ENBREL,47,10.6,6.4,8.5,,13,Concerning,2.45,headache | weight gain,positive
NUVARING,19,10.5,0,21.1,,8,Concerning,1.53,fatigue | headache | insomnia | nausea | stomach pain | vomiting | weight gain,negative
QUARTETTE,1,0,0,0,,0,Concerning,1.0,,negative
ALESSE,31,0,0,0,,7,Concerning,2.3,headache | nausea | weight gain,negative
SEASONIQUE,3,0,0,0,,1,Concerning,1.56,fatigue | headache | insomnia | nausea | stomach pain | weight gain,negative
ORTHO EVRA,3,0,0,33.3,,0,Mixed-Neutral,3.31,fatigue | headache | insomnia | nausea | rash | weight gain,positive
ALYACEN 1/35,192,0,0,17.7,,56,Concerning,,,
