drug_name,most_positive_comment,most_negative_comment,,
VIBRAMYCIN,Good news is once I stopped this drug side effects went away.,"I was switched from Biaxin to Doxcycline, as the Biaxin caused me to have terrible insomnia for two months. Doxcycline helped me to sleep, but made me extremely dizzy, especially in the morning.",,
VICODIN,Works perfectly for alleviating my chronic pain.,Literally the worst experience of my life. I was sure I was dying. I would warn my worst enemy against using this drug.,,
VICODIN ES,"The Best Pain Killer so far. Makes you fell good inside. I take 1 in the morning with my Coffee, 1 during the mid day while working, and 2 at night before before bed with Green Tea and I'm fine. Dont eat heavy food with it eat light and a good hot bowl of soup works the best. I have taken Vicodin for 6 years I take 3-4 a day and i have (NO PAIN AT ALL)... Just dont over medicate yourself. It works take it!!!!","7.5/750 Doesn't take away the pain, merely distracts me from it about 75% of the time. I have chronic pelvic pain, nerve pain with my glute muscles fusing together and hitting nerves after I had my coccyx removed 4 years ago. I take a half of a pill, maybe a whole pill almost everyday. Constant pain, spikes about 6+ times a day, sometimes bringing me to tears. Scared of addiction and try to just deal with the pain.",,
VICODIN HP,"I took the 10/500 tablets. I needed two to kill the pain enough to sleep in the hospital and for the first three weeks or so after I got out. Also took one occasionally during the day the first couple of weeks to deal with pain. As the clot has started to dissolve, I have now gone two weeks without taking any in the day, and five nights in a row without any to sleep. My spouse gets insomnia if she takes it at night, but I have not had that effect. I don't get any euphoria from it, so I'm not worried about addiction. It's the best pain reliever I've ever had; since I'm on coumadin, I can't take aspirin or ibuprofen, so this is great.","It did the trick. I had been suffering horrible sharp shooting pains attributed to a cracked and exposed wisdom tooth. The pains were so bad that I would sweat and almost pass out. The vicodin did the trick, and other than what I listed as the couple small side effects, the pain went from horrible to nothing.",,
VICOPROFEN,Love this medicine Sayin no complants,Did nothing whatsoever to relieve pain:'(,,
VICTOZA,"The drug worked incredibly well to cut back on eating , one just never feels hungry. I had to force myself to eat , however i stopped due to constipation . Perhaps it had something to do with not eating",I will give it another few days and see if I can tolerate it.,,
VIDEX,"Works well, but having to take it with food makes One a day dosing with Videx and Sustiva not possible.","Works well, but having to take it with food makes One a day dosing with Videx and Sustiva not possible.",,
VIDEX EC,You don't need to ruin your life any more than it is.,You don't need to ruin your life any more than it is.,,
VIENVA,"I'm using Vienva to eliminate extremely bad premenstrual depression (by way of taking it continuously to avoid menstruating at all), and it's done the job pretty much perfectly. I occasionally notice cramping if I forget to take it one day, but even when that does happen it's pretty mild.",Within just 2.5weeks taking vienva I had gained 25lbs after just losing 35lbs after having my daughter 6weeks prior to starting pill. My foot and ankle also would swell up. My milk supply dropped where I am forced to hunt for formula and breast feed. With all this my mood was going up and down. I am heavy set sitting at 272lbs at 5'6 so I am sure that plays a part in what my side effects are.,,
VIGAMOX,with a resistant child difficult to put into eye; had to put it in via the side corner and most dripped out,with a resistant child difficult to put into eye; had to put it in via the side corner and most dripped out,,
VIIBRYD,Had to stop because it caused frequent sleep paralysis,Do not take this drug! Dangerous!,,
VIMOVO,"Since Naprelan was discontinued, a drug that worked well and I took for years, Vimovo was the closet replacement. It's a time released drug that spares your stomach. It didn't work as well as Naprelan and caused blurry and double vision.","Since Naprelan was discontinued, a drug that worked well and I took for years, Vimovo was the closet replacement. It's a time released drug that spares your stomach. It didn't work as well as Naprelan and caused blurry and double vision.",,
VIMPAT,Vimpat has really changed my life for the better.,Very bad,,
VIORELE,"Usually I don’t have serious problems with most generics of Mircette. Viorele has the worst side effects in a birth control pill I've ever experienced. I wasn't able to function. On the positive note, it kept my skin clear and my pores tight. My husband said I look younger and less tired. Usually I have red eyes from birth control pill use but this did not make my eyes red, although it did made them dry. I wasn’t able to wear my contacts for a long time.",I use this to control heavy periods and treat anemia. I have an ovarian cyst and uterine fibroid. I'm doubtful this one helps with heavy periods in the long run and will switch to something else.,,
VIOXX,I was prescribed this medication just before it was pulled off the market a number of years ago. It was heaven sent. I had not had that kind of relief before or since. I was only on it for 15 days but it was the best 15 days of my life. As soon as the announcement came out my husband flushed the balance of my prescription. I have been on many other prescriptions since and nothing has compared.,Had to be hospitalized and put on massive amounts of Benadryl and anti-inflammatories to bring down swelling. Made the chicken pox I had when I was a child look like a day at the park compared to the hell I went through with Vioxx.,,
VIREAD,Don't. Please. Don't. Take. This. Young men in their 20's get osteo! Old ladies aren't the only ones who get badly brittle bones. I have much distrust and contempt for pharmaceutical corps who benefit by destroying lives.,Don't. Please. Don't. Take. This. Young men in their 20's get osteo! Old ladies aren't the only ones who get badly brittle bones. I have much distrust and contempt for pharmaceutical corps who benefit by destroying lives.,,
VISICOL,"I'd read about electrolyte disturbances after taking this drug, so I prepared for it by making sure I was fully hydrated before-hand and that I took it with fluids that contained electrolytes (Propel, Gatorade, Apple Juice). It's a lot of pills to take, but they were no larger than my Vitamin C tablet I take daily, so not hard to swallow. I started getting results 45 minutes after taking the first pills, and it lasted for several hours afterward - around 5 hours from start to when I stopped getting the urge to have a BM. My procedure was scheduled for the afternoon, so I did the first round at 5pm the night before, then started up the second round at 5am the next morning. I didn't feel dehydrated at all afterward. This drug can also put a heavy load on your kidneys, so I continued drinking fluids for the entire 5 hours to insure there would be some extra fluids available for my kidneys. Most of what you drink with the prep is sucked out by your colon, so I feel it's important to",Visicol tablets are dangerous to your health.,,
VISINE-A,Put 2 drops in both eyes 2 months ago and purple rings under eyes near nose still exist.,Put 2 drops in both eyes 2 months ago and purple rings under eyes near nose still exist.,,
VISKEN,This medication changed my life for the better. I was SO sick due to my autonomic dysfunction and all that it entailed. I felt like I got my life back.,This medication changed my life for the better. I was SO sick due to my autonomic dysfunction and all that it entailed. I felt like I got my life back.,,
VISTARIL,"This is not just an innocent antihistamine. It is an anticholinergic and a serotonin antagonist, which means it messes around with levels of the neurotransmitters serotonin and acetylcholine. So of course it is going to affect mood, anxiety, sleep, thought processes, etc.",I am going to stop taking. Can't handle. Too sick,,
VITAMIN D,"My dr didn’t even test my Vit D level . He just said it’s good for me, no side effects .",I went to ER with heart beat of 172 it was scary. Now palpitations daily. Not taking that anymore.,,
VIVACTIL,"Underused, extremely effective",I am winding down taking Vivactil. Since lowering my dosaged my headaches have decreased. This was presribed to prevent migraines but I think it triggering daily headaches.,,
VIVELLE,"I was very pleased. I did gain weight, but I cannot swallow a pill and this was excellent. I was on this from 1991-2004. It adheres very well and feels most like your skin. Also, you do not have to worry about the increased chance of gall bladder problems with this patch.",All my friends agree. They hate it!,,
VIVELLE-DOT,Free your schedule by day 3 taking this and enjoy the ride.,this patch almost killed me.,,
VIVITROL,One of the few good drugs out there.,"Positive results regarding craving reduction. Also, limits the euphoric effects of alcohol.",,
VOLTAREN,"I will ever use it,trust it or advice anyone to use it.they do so at there own risk.",Useless.,,
VOLTAREN-XR,"Works wonderful as a sleep aid. I still have the pain, I believe my Dr has misdiagnosed me.",The kneejoin paint stopped but the side effects were awful.,,
VORICONAZOLE,"I ended up doing some research and found a clinical paper (PMCID: PMC2727751) which had testimonials from patients with exactly the same sort of hallucinations as him. Really weird that my dad, a 62 year old Indian man who hates sci-fi, described Chewbacca to a T, which was in one of the comments in the paper above. Hope this helps someone else in a similar position.","I ended up doing some research and found a clinical paper (PMCID: PMC2727751) which had testimonials from patients with exactly the same sort of hallucinations as him. Really weird that my dad, a 62 year old Indian man who hates sci-fi, described Chewbacca to a T, which was in one of the comments in the paper above. Hope this helps someone else in a similar position.",,
VOTRIENT,Has been keeping my small tumors (>13 mm) stable or has shrunk them. Side effects minimal. I have never determined the actual cost of this drug - billed directly thru insurance.,Has been keeping my small tumors (>13 mm) stable or has shrunk them. Side effects minimal. I have never determined the actual cost of this drug - billed directly thru insurance.,,
VRAYLAR,This Med has helped since day 1 to level my moods. I'm in a real good place in life so I want to try to wean off now and see effects after.,I took one dose and I felt worse than I ever felt,,
VTAMA,"This stuff is miraculous. No color, no scent, not greasy, disappears into skin. About 18 days after starting my skin was free from plaques. Where has this been all my life? The pharmacist said if it works, stop using it and start again when you need it. It took 9 weeks to need it again. Nine weeks without thinking about it. Is this a dream? I’m in love!","This stuff is miraculous. No color, no scent, not greasy, disappears into skin. About 18 days after starting my skin was free from plaques. Where has this been all my life? The pharmacist said if it works, stop using it and start again when you need it. It took 9 weeks to need it again. Nine weeks without thinking about it. Is this a dream? I’m in love!",,
VYTORIN,I used this for many years without issue. it lowered my chol count. Triggered a severe reaction after taking generic  antibiotic. Took several months for the doctor to suspect it was vytorin. I have been off it for 1.5 weeks now and muscle pain is going away. breathing is getting better. I still cannot sleep yet but I have been getting more (about 4 hours last night).,"No problems before taking Vytorin,was on Crestor, and one month after Vytorin being taken all these problems began to arise-----never felt worse in my life---in fact  doctors are unsure what is wrong --test after test,but i feel Vytorin is the culprit.",,
VYVANSE,"I started to itch, bumps on my tongue, blurring vision, white bumps on my elbows which now have turned to large scabs from itching, I've experienced almost every side effect except for hallucinations and sudden help it worked great for 2 years now I believe it going to kill me",Sometimes medications are worse than the issue they are trying to correct.,,
VYVGART,I wanted it to work but there were too many side effects.,I wanted this medication to work but I guess I had a sensitivity to it .,,
WARFARIN SODIUM,"Bi-weekly INR along with self check- cougcheck . Still waiting for a better alternative as I'm on it for the rest of my life. It controls my life, During conception and pregnancy took heparin and really enjoyed it -","im not going to continue this med, the ""cure"" is worse than the ailment",,
WEGOVY,"Even after 4 months, I have persistent gas on Wegovy, mostly burping and acid reflux. If I could afford to stay on Ozempic I would, but my A1C is almost back to normal and all my other vitals were good as well after a few months on Wegovy.","I tried everything to minimize the side effects and nothing worked, there is no reversing it so I just have to try to tolerate it until it wears off. This is too horrible to continue.",,
WELCHOL,I love these tablets,"Horrible pill, couldnt get anthing done. Miserable , depressed",,
WELLBUTRIN,"I've been on Wellbutrin for about 3-4 weeks now & it's definitely helped me feel less on edge all the time. It's helped me also lose weight lol , curbing my appetite & making me a little nauseous here & there NOW 3 weeks later, but it's alright lol. It's not debilitating for me, it's just a little annoying sometimes. Make sure you eat sometime before taking it if you're a nauseous person lol & stay hydrated! :)",It didn't stop me from smoking in the long term. Suffered terrible multiple side effects from this drug,,
WELLBUTRIN SR,This drug is excellent for seasonal mood variations. Prevents me from flipping into depression in fall and spring. Great for energy and just general good mood. Promotes weight loss which I love. Chases the depression away nicely.,"Working already, started within a few days. Jittery 6-8 hours post dose -can tolerate 2 hours for now but if dry mouth continues I will be stopping. I already have underlying Sjogrens.",,
WELLBUTRIN XL,"I took this as an add-on to Zoloft 50 mg to help with its sexual side effects. I don't think it really helped with the sexual side effects of Zoloft and made it slightly worse given it increased performance anxiety. I feel good on the Zoloft alone and think maybe the increase in dopamine and norepinephrine is not what I needed, which is what Wellbutrin does. I suspect it would be best for those with lower energy from depression given it was pretty stimulating for me. Zoloft + Wellbutrin was not a good combo for me. I was on Zoloft for 6 months prior before adding Wellbutrin. Maybe it would be better alone than as an add-on to a SSRI.","I am very sensitive to medications and I have adverse reactions to epinephrine (norepinephrine). Since this medication increases the amount of norepinephrine in the body, I’m assuming this is why I had the bad reaction. I stopped the medication after two days.",,
XALATAN,Cannot take much more taking twenty years found out recently it causes my problem s going ask to stop them,Awful side effects,,
XANAX,"It's great for anxiety, it literally saved my life",Doctor never mentioned it was addictive and would always increase my dosage whenever I asked. Benzos are terrible to get off of them.,,
XANAX XR,Amazing,Yeah like I said it's horrible.,,
XARELTO,"This has been a great alternative for Warfarin or Coumadin which would be a ""no go"" in my mind. I am happy this is working for me and I will be on it for life.","2 months left on this horrible medication, I want my life back!!!",,
XARTEMIS XR,"It was AMAZING to find a drug that lasted longer than a few hrs, eased my pain, and did not make me feel woozy! This was a miracle drug! Downside--it really only lasted 8 hrs not 12.","It was AMAZING to find a drug that lasted longer than a few hrs, eased my pain, and did not make me feel woozy! This was a miracle drug! Downside--it really only lasted 8 hrs not 12.",,
XELJANZ,"When I first started this I thought it was great because I did have symptom relief, but now I am getting more and more symptoms that are getting worse. I was even treated with a steroid blast for 2 weeks because of swelling/pain. Contacting doc on Monday to come off this horrid drug.","Rheumatologist wanted to try Kevzara in December 2022, so I stopped Xeljanz. Horrible experience with blisters on fingers, extreme pain, and distorted fingers and toes with ulnar drift. Restarted Xeljanz after two months, and could feel relief in three days. Unfortunately there is no undoing the finger and toes ulnar distortions. ENT doctor tried three antibiotics to eliminate sinus infections with no success. Recommended surgery but I declined because I will continue with Xeljanz. It is the only drug that shows consistent results, and I've tried nearly all of them prior to 2017.",,
XELODA,Very good so far.,Horrible side effects,,
XENICAL,take it 3 X a day for the best effect,I usually experience usual side effects but with the last 2 batchs no side effects and weight gain also constipation had to take senna and still no oily stools?,,
XIFAXAN,"I have had IBS-D since I was a child and for the first time since I can remember, my gut actually feels normal. The persistent, low grade pain I used to feel is gone and the urgency to go is greatly diminished. Dr. and I are going to try one more 14 day round and see how things go after that. I would recommend giving it a try.",Didn't work at all. Made me feel terrible.,,
XIIDRA,The stinging I experienced I believe was post nasal unrelated to the xiidra. I have no side affects.,I tried restasis for 3-5 years and that too was a farce !,,
XOFLUZA,Wonderful Ned!!! Was diagnosed with flu type A took within the 48 hour window.. was better in 24 hours- worth the money!!!!,Wonderful Ned!!! Was diagnosed with flu type A took within the 48 hour window.. was better in 24 hours- worth the money!!!!,,
XOLAIR,Huge improvement in lung capacity. Life changing medicine. Thank you!,"Just had my 1st dose 3 days ago. Painless shot in both arms. Had to be observed at the immunologist office for 2 hrs. post shot, but did not have any ill effects. Can't say for certain if it is going to work in the long run, but I did experience less angioedema within the first day.",,
XOPENEX,Excellent,"As with all the other inhalers I've tried, I get an awful rash. Small red dots from head to toe. Also, had peeling skin inside my mouth.",,
XTANDI,"Was put on this medication as my PSA was rising. This drug is truly awful, making it made me into a zombie with no energy to get out of bed several times. or do minimal tasks around the house. Killed my appetite producing a most unpleasant tast and dryness in my mouth. I stopped it and won't go back on it no matter what.",The drug does not work piece of crap. Got off the drug and my psa went down,,
XULANE,Not sure if my symptoms will get better or go away after my body adjusts to Patch. Going to give it 2 more months if symptoms don't subside going to stop using Patch.,"Not really sure if it works since I have tested it, per say.",,
XYREM,"This drug might have been effective for my sleep disorder if I had been able to stick with it and titrate up to the highest dose, but I had to quit taking it because of the side effects. It caused me to become severely depressed, and caused a significant rise in blood pressure and heart rate.",I wish they had medication that could help with very low irritable dull moods. If there was smtg that help I would still be taken Xyrem­,,
XYZAL,"It ruined my quality of life. So many things I can no longer partake in because of shortness of breath, wheezing and asthma attacks..","Clears up allergies somewhat, but TERRIBLE side effects",,
YASMIN,"Great for hormone regulation, weight loss, skin clear.",Bad drug don't use!,,
YAZ,I had these side effects from the very first time I took it until the last time. I haven't sleep much this 10 days but the first night without everything was fine again...,"Spotting throughout taking it, has helped with my pelvic pain and bloating but would rather experience pelvic pain and bloating than to feel the way I currently feel mentally.",,
YERVOY,"I pursued this treatment in parallel with natural treatments revolving around massive dosages of Vitamin C (oral and intravenous) along with other supporting herbs, vitamins and nutrients.","I pursued this treatment in parallel with natural treatments revolving around massive dosages of Vitamin C (oral and intravenous) along with other supporting herbs, vitamins and nutrients.",,
ZADITOR,"I have severe eye and throat itch allergies associated with grass, and this is working to control the itch in my eyes. A large bout of grass can still trigger a mild attack, but it is much more bearable with the drops. I was looking for side effects, but so far, pleasantly - none at all. Taking with Allegra.","Zaditor, Opcon A and Visine A were useless in the case of my itchy eyes from tree pollen.",,
ZAGAM,"I am in France, this drug is withdrawn from the market now. I wonder why it is still sold in some other countries. NEVER TAKE IT !","I am in France, this drug is withdrawn from the market now. I wonder why it is still sold in some other countries. NEVER TAKE IT !",,
ZANAFLEX,It worked good for its main purpose (making my back feel better),This medication needs to be illegal.,,
ZANTAC,"Had breakthrough heartburn occasionally, so Doc switched me to aciphex. Noticed major thinning of my hair over a two year period taking this drug.",Took 300mg at night for 3 weeks...still having issues and my dizziness is really bad,,
ZANTAC 150,"I originally began taking this medication because of nighttime GERD. I think in the beginning, I tolerated this poison. I started having small anxiety attacks and just thought it was the stress of daily life. Fast forward a few years and I now have full blown ANXIETY and PANIC ATTACKS. Depression is a daily battle. I have been to the doctor many times over the years and he said there is no way it could be the Zantac 150 causing it. He gave me Klonopin to kill the anxiety and panic attacks. Now I'm addicted to that! Long story short, STAY AWAY FROM THIS POISON! Think twice before believing your doctor when they say ""it's safe and you shouldn't have any side effects"". I am now trying desperately to find a way to get off of this stuff. My body is so used to having it, every time I try to taper, it's not successful. I'm on a hamster wheel and I can't get off. I was a happy, healthy father of two young kids and now I've missed most of their childhood because I ""didn't feel good"". Don't follow in my foot steps!","At least since I have read these comments, I feel somewhat relieved that I am not dying!!!!",,
ZANTAC 75,Wonderful medicine which works at a low dose like 75 mg,Do not take this drug - FDA missed something that is very wrong with the drug.,,
ZARONTIN,"I was on zarontin for 5 years, after hospitalization for a suicide attempt I was taken off it and without therapy or anti-depressants I felt like my cheery outgoing self again after ONE WEEK. If this is changing your child's mood PLEASE demand another medication.",I hopefully can get in today to see her neurologist. She cannot continue to stay this sick all the time. I'm praying they have another medication to help her.,,
ZAROXOLYN,I don't know how long I will be on Zaroxolyn but I am still taking Demadex,I don't know how long I will be on Zaroxolyn but I am still taking Demadex,,
ZEBETA,works better for me than metoprolol and propranolol with less/no CNS side effects,I really hate it .,,
ZEGERID,I tried every medication out there as I had severe symptoms and this has worked the best for me. I take 40 mg once a day. If you can get past the initial adjustment it works great.,"Day one=whole day in bed Day two=ended up in the ER No more, this med can kill me.",,
ZEGERID OTC,"I also take 40 mg of Nexium first thing in the morning. Between the two, I've not felt better in years.",Worked on the acid reflux but the side effects were not worth it. Going back to Nexium - expensive but no side effects.,,
ZELNORM,omg i feel like a new girl. i took zelnorm before and i fell out when i was looking up meds.and i saw ZELNORM!!!!!!!!!!!!!!,"This drug was completely useless to me. I remained unable to move my bowels. The ONLY way this drug EVER worked was to take it with coffee, a stimulant strictly prohibited by my IC diet!",,
ZEMURON,"I asked not to be given any histamine releasers because I have fibromyalgia, but was given this anyway. Never had pain like this and have had colonoscopy without any painkillers. No real reason for this med!","I asked not to be given any histamine releasers because I have fibromyalgia, but was given this anyway. Never had pain like this and have had colonoscopy without any painkillers. No real reason for this med!",,
ZENATANE,took the dosage once a day at night. Greatly improved the acne. Waiting to see if it lasts as the regimen is complete.,"Nightmare poison drug. All the terrible permanent side effects can hit you AFTER YOU STOP TAKING THiS HORRIFIC chemotherapy!!! Started for me after stopping it. Even if you feel ok while you're on your course, it doesn't matter...just wait for the nightmare of your body falling apart and degenerating to begin. It really is THAT bad. Human poison, rot in hell to the makers of this. My life is over because of it.",,
ZENPEP,"Tried it for one day, had to immediately stop due to chest pain, and woosey feeling in my head. Side effects worsened overnight, but we're gone within 24 hours.","Tried it for one day, had to immediately stop due to chest pain, and woosey feeling in my head. Side effects worsened overnight, but we're gone within 24 hours.",,
ZERIT,"This drug will help keep you alive if you have no other choices for your combination, but much better to use tenofovir or abacavir, neither of which cause fat loss.","All hiv meds are poison, plain and simple",,
ZESTORETIC,keeps pressure down really good.,Will change as soon as I can contact physician,,
ZESTRIL,Great for my blood pressure.,horrrrrrrrrrrrrrrrrrrrrrrrrrrible cough was so bad my ribs and throat was sooo sore cough was embarrassing and painful I dont recommend this drug for no one its horribe.,,
ZETIA,Do not take Zetia or generic Zetia. Also avoid all statins . Instead try Aurvedic medicine . Ask pharmacist if he or she know any good company.,I was tried on Pravastatin but could not tolerate the side effects. My PCP switched me to Zetia 10 mg 8 days ago. Medications should not have such horrific side effects. I am going to stop the Zetia and make an appointment with a nutritionist in an effort to lower levels naturally.,,
ZETONNA,"This is the most amazing nasal spray I have used. Traditional sprays have not worked for my non-allergic rhinitis, and they tend to leave me with a sore throat due to drainage. This spray does not induce drainage and the accompanying sore throat. It also works much better than the others I have tried. My only qualm is the hefty $100/month price tag.",well it opens me up and drys me up feel a little up tight,,
ZIAC,"Compared to HCTZ, ZIAC is great stuff. So far, no complications that I'm concerned about.",Direct link to loss of sex drive. Taking Viagra as needed but VERY expensive ! $ 35 each 100 Mg.,,
ZIAGEN,"This, like all hiv meds is HIGHLY toxic and ziagen comes with a dire warning about hypersensitivity reaction, which just now my doctor is admitting i was begining to have","This, like all hiv meds is HIGHLY toxic and ziagen comes with a dire warning about hypersensitivity reaction, which just now my doctor is admitting i was begining to have",,
ZIANA,"this drug has worked the best for me. i use it nightly, but only occasionally, otherwise my skin gets too dry. it seems effective.","this drug has worked the best for me. i use it nightly, but only occasionally, otherwise my skin gets too dry. it seems effective.",,
ZINACEF,"This drug is GREAT with almost no side effects, i took 2 750mg (lowest dose) injections and my throat felt better immidiately.","It was on a prolonged treatment with Zinacef/cefuroxime. Conditions were improving with treatment. Standard duration is 5-7 days of treatment, but in my case, It was first extended to 14 days and then 21 days. But on 17th day I had severe pain and swelling in right knee. Which was so severe that I had to use hands to place my leg on bed. Took NSAIDs which helped me with pain and helped me walk again. I'm still recovering from affects after a week. I've used Zinacef before without any reactions and it has always helped me with my condition. I suppose due to prolonged usage, my body finally rejected it. I can't use such a useful drug anymore. Please stick to prescribed days and don't overuse it.",,
ZIOPTAN,"It may have no preservatives, however the side effects are horrendous.","It may have no preservatives, however the side effects are horrendous.",,
ZIPSOR,This medication gave a good deal of relief with only one side effect...it aggravated my ulcer so I had to discontinue use. For those without ulcer issues this is a great medication.,My throat still hurts while on it; however the pain is tolerable and I am able to function through the day until my virus works its course and I am finally over this horrible sore throat!,,
ZITHROMAX,Still feeling the side effects of this drug more than a month later. Maybe its still in my system. Completely ruined my life. Never ever take this drug !!!,Horrible drug.,,
ZMAX,I thought this medication would be great. You take just one dose and it works for 10 days. However soon after I took it I felt 100 times worse then I had before and had added symptoms. I couldn't get out of bed or eat anything for 3 days. I was shaking when I would walk and felt like I was going to pass out. Everything was spinning on me and my muscles were all sore. After the frist 3 days I slowly started to get better but I didn't feel completely normal untill day 12. I would rather deal with a sinus infection than go through the absolutely hell this medication put me through EVER again. I have NEVER had a problem with any medication untill now.,Should be taken off the market and off the shelves. . Horrid drug I feel worse not better. I can’t believe how not myself I’m feeling. DO NOT TAKE!,,
ZOCOR,"Do not take. Do what I'm doing. Search the net for alternative choices. Red yeast rice? Niacin? 2 good alternatives. Funny, red yeast rice contains a NATURAL statin, the one drug company, now says it's Own The RightD TO This Natural drug. Amazing what greed does to people",It dropped my cholesterol big time but the side effects are horrible.,,
ZOFRAN,Works great but hate how much it backs me up.,It was so expensive I am so heartbroken it hasnt been working out for me as my pregnancy sickness has been brutal so im going to continue trying to take it in halves or something we will see,,
ZOFRAN ODT,"Works great for nausea, but the side effects aren't worth taking this medicine",I had bad nausea due to migraines this helped. Worked fast. Tried other anti nausea meds in the past but they all caused major drowsiness.,,
ZOHYDRO ER,Cannot trust pain management.,"This has been a lifesaver for me. Pain doctor and I worked for 7-8 years to find a med/combo that allows me to function (be a parent, hold down a job, etc) without turning me into a zombie AND takes care of most of the pain. Have tried every medicTion for TNA with little succes and a lot of outright failure. Insurance does not want to cover the cost of this expensive ($1k per month) med, but I appeal their decision each year and have so frar been successful. Helps that I have tried and failed on everything else. I would never try this before trying all the other meds. Not only are they less costly, but less damaging to the system. But when up against a wall...i think that all narcotics should have tamper resistance, but again, that adds to the cost.",,
ZOLADEX,Zoladex plus Arimidex have really saved me from severe breast cancer pains. I have been on this drug for 11 months and I do take my injection every 3 months. I'm very happy now and I do my daily activities without any problems. Thanks to God. I am to be on this drug for 5 yrs.,I had fibroids removed but was still having painful periods. Zoladex stopped the periods so I could return to having a normal life. However now doctor saying I should stop as been on it too long. Worried will start having painful periods again.,,
ZOLOFT,Didn't Take it that many days. But couldn't stay with it because of side effects.,Do NOT give this to an elderly with dementia. It was BAD!!!,,
ZOLPIDEM TARTRATE,"My insurance company forced me to get the generic of Ambien, manufactured by Teva. I don't believe it is as effective as the name brand. It did put me to sleep for ~5 hours in a row the 2 nights that I took it. On the second night, I took it in the 6 p.m. hour & slept until ~11:30 p.m. I then stayed awake until ~2 a.m., when I took another 5 mg. That only put me to sleep for 3 hours. After a period of clarity in the early morning, I felt spacy, anxious, emotional & had aches & pains most of the day. It feels like my left eye is seeing from a different depth than my right eye, as though I am about to get a migraine.",Do not take the peach generic. It's awful!,,
ZOLPIDEM TATRATE,"It would lose effectiveness if I took it every night, but on nights I take it, I get great sleep.",Point less not doing. Anything sleepy,,
ZOMETA,"I had stage llb breast cancer 3 years ago. I'm in remission now after(mastectomy) chemo and radiation. I took Tamoxifen for 2 years and am now taking Arimidex. My oncologist put me on Zometa(one dose every 6 months) because I am osteopenic and she said that new studies have shown that it helps reduce your chance for recurrance. I feel pretty good and if it helps keep me in remission, then I am all for it!","i think I would be in terrible shape if not taking zometa, I believe it helps me with my pain and even gives me a little zing every now and then after treatment.",,
ZOMIG,The best medicine ever I could not fuction without this med,I cut the 5mg tablets in fourths. The small dosage still works well and no side effects.,,
ZOMIG-ZMT,"THIS IS NASAL IS THE ONLY MED THAT SEEMS TO HELP,, I HAVE BEEN ON MANY OF THE PILL FORMS WITH NO RESULTS EXCEPT VOMITING LAYING ON THE BATHOOM FLOOR CRYING IN SUCH PAIN AND MANY TRIPS TO ER WITH THE REMEDY BEING,, A COCKTAIL OF 1 MG ADIVAN,,30 MG TORADOL 10 MG REGLAN OR SOMETIMES DILANTIN,, MY TRIPS TO THE ER HAVE DECRESSED BY 95% WHICH IS GREAT,,, ,THIS MED IS A LIFE SAVER. I ALSO TAKE 200 MG OF TOPAMAX DAILY,,,",wonder drug,,
ZONALON,"I used this ""as needed"" a few years ago for about 3-4 weeks? Anyway, it was a cream applied to the skin. This was an EXPENSIVE little tube of cream, $100. And I had to disgard it since it expired before I could use it up. This cream version is MUCH more potent than the pill form, which I have also taken before. It makes me dizzy and extremely drowsy within MINUTES. So I could only apply it at bedtime. And since it was so potent, I applied it VERY sparingly, which prevented me from actually using the whole tube and getting my money's worth.","in addition to it making me extremely drowsy, most of the time, did not get rid of the itching, and if it did, it comes right back. when it would put me to sleep, i can sleep for a very long time! i just cant believe my dr. put me on this drug in addition to me already taking 2 other antidepressants, ambien, AND xanax!! is this dangerous? and the only reason it was prescribed was to counteract a side effect of one of the other meds im on! oh, and another thing, ive been looking this one up, and it says it only comes in a cream. ive not once heard of it being a pill (which is what im taking, as needed). whats the deal here?? if you can relate, or have any advice, leave me some feedback.",,
ZONEGRAN,Why is it I can’t ever have the good side effects like weight loss! Lol,"Just in recent days started with weird ""sores"" or rash on leg and arm doctor can't identify. Sore muscles in chest/arm. Itching all over. I'm afraid I've become allergic to the Zonisamide but I refuse to take any other seizure medication since I only had one three years ago and neurologist has no idea what caused it. I believe it was from my doctor lowering my Synthroid (thyroid med) for no reason from .150 to .112. I'd like to stop taking seizure med altogether but I'm scared TO take it and scared NOT TO for fear I'll have another one.",,
ZONISAMIDE,I've never had any kind of reaction like this. I'll go back to the gabapentin.,"If you are taking this med, drink LOTS of water (at least 3 quarts a day)! If you start having cloudy urine, add lemon to the water you drink and think about calling your Dr. You may have a kidney stone.",,
ZORVOLEX,I moved furniture and injured my hip. Was unable to put pressure on my foot to walk. Severe pain. Took 35 mg of Zorvolex went to sleep and woke up with no pain. Able walk no problem! Never have I experienced such fast and complete relief. Glad I have a great doctor who prescribed this for me.,Started to work right away. Could hardly walk because of the pain. After taking meds a day and a half I could walk without pain,,
ZOVIA 1/35E-21,"I have suffered from very long, heavy, and frequent (often twice a month) periods for the last 3 years and severe mood swings for about 4 years. My OB-GYN put me back on birth control pills to try and control these symptoms. I've tried many pills in the last few years. Some helped a bit with my periods. Zovia was the first pill to help A LOT with both my periods and my mood swings. It has been a savior! I still have vaginal dryness and am going to give HRT a try, but if I don't get any further improved results with HRT, I will be running back to Zovia!","I switched to Zovia from Ortho Tri-cyclen a few years ago due to spotting. I've had no problems other than decreased sex drive, but that's to be expected. No headaches or weight gain",,
